"workerid","movieID","reactionTime","PArray","AArray","trialNum","attentionTime","expt"
94,23,642,0,0,1,13.2,"8:LBtimes"
578,11,554,1,0,1,10.8,"8:LBtimes"
439,19,445,1,0,1,16.7,"8:LBtimes"
557,15,842,0,0,1,10.8,"8:LBtimes"
558,9,935,1,1,1,10.8,"8:LBtimes"
406,15,569,0,0,1,10.8,"8:LBtimes"
569,23,684,0,0,1,13.2,"8:LBtimes"
551,21,1705,0,1,1,16.7,"8:LBtimes"
564,19,1752,1,0,1,16.7,"8:LBtimes"
542,7,638,0,0,1,16.7,"8:LBtimes"
574,19,413,1,0,1,16.7,"8:LBtimes"
585,15,1081,0,0,1,10.8,"8:LBtimes"
121,19,529,1,0,1,16.7,"8:LBtimes"
586,21,1989,0,1,1,16.7,"8:LBtimes"
553,17,690,1,1,1,13.2,"8:LBtimes"
552,13,624,0,1,1,13.2,"8:LBtimes"
531,19,678,1,0,1,16.7,"8:LBtimes"
536,5,754,0,1,1,10.8,"8:LBtimes"
226,17,592,1,1,1,13.2,"8:LBtimes"
538,23,449,0,0,1,13.2,"8:LBtimes"
568,15,2094,0,0,1,10.8,"8:LBtimes"
541,7,682,0,0,1,16.7,"8:LBtimes"
533,17,351,1,1,1,13.2,"8:LBtimes"
543,3,932,1,0,1,13.2,"8:LBtimes"
513,9,486,1,1,1,10.8,"8:LBtimes"
571,17,738,1,1,1,13.2,"8:LBtimes"
31,13,664,0,1,1,13.2,"8:LBtimes"
573,11,620,1,0,1,10.8,"8:LBtimes"
567,17,1372,1,1,1,13.2,"8:LBtimes"
94,13,894,0,1,2,13.2,"8:LBtimes"
532,13,590,0,1,2,13.2,"8:LBtimes"
537,19,437,1,0,2,16.7,"8:LBtimes"
439,23,457,0,0,2,13.2,"8:LBtimes"
557,9,668,1,1,2,10.8,"8:LBtimes"
558,11,629,1,0,2,10.8,"8:LBtimes"
583,9,569,1,1,2,10.8,"8:LBtimes"
168,5,1092,0,1,2,10.8,"8:LBtimes"
534,3,904,1,0,2,13.2,"8:LBtimes"
579,17,350,1,1,2,13.2,"8:LBtimes"
559,17,618,1,1,2,13.2,"8:LBtimes"
549,17,552,1,1,2,13.2,"8:LBtimes"
529,3,563,1,0,2,13.2,"8:LBtimes"
570,13,741,0,1,2,13.2,"8:LBtimes"
540,15,911,0,0,2,10.8,"8:LBtimes"
560,23,488,0,0,2,13.2,"8:LBtimes"
550,1,1145,1,1,2,16.7,"8:LBtimes"
588,3,625,1,0,2,13.2,"8:LBtimes"
576,3,462,1,0,2,13.2,"8:LBtimes"
551,1,354,1,1,2,16.7,"8:LBtimes"
313,7,664,0,0,2,16.7,"8:LBtimes"
542,9,423,1,1,2,10.8,"8:LBtimes"
501,3,428,1,0,2,13.2,"8:LBtimes"
585,23,632,0,0,2,13.2,"8:LBtimes"
121,5,763,0,1,2,10.8,"8:LBtimes"
531,13,601,0,1,2,13.2,"8:LBtimes"
566,5,451,0,1,2,10.8,"8:LBtimes"
536,19,650,1,0,2,16.7,"8:LBtimes"
572,7,452,0,0,2,16.7,"8:LBtimes"
226,5,743,0,1,2,10.8,"8:LBtimes"
538,19,469,1,0,2,16.7,"8:LBtimes"
544,23,544,0,0,2,13.2,"8:LBtimes"
541,11,427,1,0,2,10.8,"8:LBtimes"
513,7,847,0,0,2,16.7,"8:LBtimes"
547,11,384,1,0,2,10.8,"8:LBtimes"
554,21,812,0,1,2,16.7,"8:LBtimes"
546,3,669,1,0,2,13.2,"8:LBtimes"
492,19,618,1,0,2,16.7,"8:LBtimes"
573,7,552,0,0,2,16.7,"8:LBtimes"
561,3,741,1,0,2,13.2,"8:LBtimes"
567,21,695,0,1,2,16.7,"8:LBtimes"
535,1,570,1,1,3,16.7,"8:LBtimes"
217,17,423,1,1,3,13.2,"8:LBtimes"
557,1,716,1,1,3,16.7,"8:LBtimes"
534,11,649,1,0,3,10.8,"8:LBtimes"
318,3,461,1,0,3,13.2,"8:LBtimes"
545,17,1022,1,1,3,13.2,"8:LBtimes"
570,1,678,1,1,3,16.7,"8:LBtimes"
406,9,519,1,1,3,10.8,"8:LBtimes"
577,23,1143,0,0,3,13.2,"8:LBtimes"
562,11,583,1,0,3,10.8,"8:LBtimes"
540,11,707,1,0,3,10.8,"8:LBtimes"
588,15,485,0,0,3,10.8,"8:LBtimes"
576,17,477,1,1,3,13.2,"8:LBtimes"
565,15,743,0,0,3,10.8,"8:LBtimes"
548,23,740,0,0,3,13.2,"8:LBtimes"
542,19,511,1,0,3,16.7,"8:LBtimes"
581,9,436,1,1,3,10.8,"8:LBtimes"
501,11,631,1,0,3,10.8,"8:LBtimes"
587,1,854,1,1,3,16.7,"8:LBtimes"
552,23,622,0,0,3,13.2,"8:LBtimes"
531,21,633,0,1,3,16.7,"8:LBtimes"
98,9,447,1,1,3,10.8,"8:LBtimes"
572,13,532,0,1,3,13.2,"8:LBtimes"
541,9,793,1,1,3,10.8,"8:LBtimes"
543,7,870,0,0,3,16.7,"8:LBtimes"
528,17,508,1,1,3,13.2,"8:LBtimes"
492,13,509,0,1,3,13.2,"8:LBtimes"
573,17,511,1,1,3,13.2,"8:LBtimes"
561,17,511,1,1,3,13.2,"8:LBtimes"
575,23,527,0,0,4,13.2,"8:LBtimes"
578,21,574,0,1,4,16.7,"8:LBtimes"
439,17,574,1,1,4,13.2,"8:LBtimes"
557,21,603,0,1,4,16.7,"8:LBtimes"
558,21,630,0,1,4,16.7,"8:LBtimes"
168,19,1549,1,0,4,16.7,"8:LBtimes"
534,21,1055,0,1,4,16.7,"8:LBtimes"
549,1,542,1,1,4,16.7,"8:LBtimes"
584,5,1285,0,1,4,10.8,"8:LBtimes"
529,5,416,0,1,4,10.8,"8:LBtimes"
570,1,494,1,1,4,16.7,"8:LBtimes"
406,21,875,0,1,4,16.7,"8:LBtimes"
577,17,407,1,1,4,13.2,"8:LBtimes"
78,17,1464,1,1,4,13.2,"8:LBtimes"
569,9,518,1,1,4,10.8,"8:LBtimes"
562,13,460,0,1,4,13.2,"8:LBtimes"
588,19,485,1,0,4,16.7,"8:LBtimes"
308,23,612,0,0,4,13.2,"8:LBtimes"
555,21,694,0,1,4,16.7,"8:LBtimes"
565,3,516,1,0,4,13.2,"8:LBtimes"
564,9,891,1,1,4,10.8,"8:LBtimes"
580,5,794,0,1,4,10.8,"8:LBtimes"
581,7,406,0,0,4,16.7,"8:LBtimes"
