"workerid","movieID","reactionTime","PArray","AArray","trialNum","expt"
510,1,660,1,1,1,"7:NoAgent,LB"
478,3,663,1,0,1,"7:NoAgent,LB"
526,3,803,1,0,1,"7:NoAgent,LB"
504,3,939,1,0,1,"7:NoAgent,LB"
522,1,527,1,1,1,"7:NoAgent,LB"
497,7,1810,0,0,1,"7:NoAgent,LB"
443,1,422,1,1,1,"7:NoAgent,LB"
499,3,851,1,0,1,"7:NoAgent,LB"
524,3,326,1,0,1,"7:NoAgent,LB"
523,7,601,0,0,1,"7:NoAgent,LB"
516,7,1039,0,0,1,"7:NoAgent,LB"
496,3,661,1,0,1,"7:NoAgent,LB"
514,7,526,0,0,1,"7:NoAgent,LB"
484,7,418,0,0,1,"7:NoAgent,LB"
501,1,479,1,1,1,"7:NoAgent,LB"
508,5,2136,0,1,1,"7:NoAgent,LB"
481,1,661,1,1,1,"7:NoAgent,LB"
493,7,955,0,0,1,"7:NoAgent,LB"
479,1,838,1,1,1,"7:NoAgent,LB"
480,1,693,1,1,1,"7:NoAgent,LB"
518,7,1446,0,0,1,"7:NoAgent,LB"
511,3,371,1,0,1,"7:NoAgent,LB"
498,3,774,1,0,1,"7:NoAgent,LB"
486,5,957,0,1,1,"7:NoAgent,LB"
482,7,1181,0,0,1,"7:NoAgent,LB"
495,7,1101,0,0,2,"7:NoAgent,LB"
510,3,914,1,0,2,"7:NoAgent,LB"
526,7,670,0,0,2,"7:NoAgent,LB"
522,1,504,1,1,2,"7:NoAgent,LB"
527,7,688,0,0,2,"7:NoAgent,LB"
443,1,484,1,1,2,"7:NoAgent,LB"
524,1,1071,1,1,2,"7:NoAgent,LB"
519,5,765,0,1,2,"7:NoAgent,LB"
516,1,613,1,1,2,"7:NoAgent,LB"
514,3,490,1,0,2,"7:NoAgent,LB"
28,7,566,0,0,2,"7:NoAgent,LB"
515,7,725,0,0,2,"7:NoAgent,LB"
500,3,504,1,0,2,"7:NoAgent,LB"
477,3,974,1,0,2,"7:NoAgent,LB"
493,5,480,0,1,2,"7:NoAgent,LB"
479,1,494,1,1,2,"7:NoAgent,LB"
489,7,774,0,0,2,"7:NoAgent,LB"
513,5,486,0,1,2,"7:NoAgent,LB"
503,1,687,1,1,2,"7:NoAgent,LB"
30,5,556,0,1,2,"7:NoAgent,LB"
480,5,456,0,1,2,"7:NoAgent,LB"
518,7,522,0,0,2,"7:NoAgent,LB"
511,1,556,1,1,2,"7:NoAgent,LB"
507,1,679,1,1,2,"7:NoAgent,LB"
488,3,811,1,0,2,"7:NoAgent,LB"
498,1,554,1,1,2,"7:NoAgent,LB"
478,1,355,1,1,3,"7:NoAgent,LB"
526,5,441,0,1,3,"7:NoAgent,LB"
504,3,926,1,0,3,"7:NoAgent,LB"
505,3,918,1,0,3,"7:NoAgent,LB"
521,7,954,0,0,3,"7:NoAgent,LB"
525,5,663,0,1,3,"7:NoAgent,LB"
497,1,875,1,1,3,"7:NoAgent,LB"
490,5,814,0,1,3,"7:NoAgent,LB"
523,7,660,0,0,3,"7:NoAgent,LB"
516,1,422,1,1,3,"7:NoAgent,LB"
514,5,454,0,1,3,"7:NoAgent,LB"
28,7,593,0,0,3,"7:NoAgent,LB"
484,5,1022,0,1,3,"7:NoAgent,LB"
515,1,1475,1,1,3,"7:NoAgent,LB"
483,3,724,1,0,3,"7:NoAgent,LB"
494,1,615,1,1,3,"7:NoAgent,LB"
492,1,570,1,1,3,"7:NoAgent,LB"
501,3,905,1,0,3,"7:NoAgent,LB"
481,1,753,1,1,3,"7:NoAgent,LB"
477,1,680,1,1,3,"7:NoAgent,LB"
479,3,562,1,0,3,"7:NoAgent,LB"
489,5,772,0,1,3,"7:NoAgent,LB"
509,1,550,1,1,3,"7:NoAgent,LB"
30,7,385,0,0,3,"7:NoAgent,LB"
480,1,1071,1,1,3,"7:NoAgent,LB"
518,5,436,0,1,3,"7:NoAgent,LB"
511,7,604,0,0,3,"7:NoAgent,LB"
486,3,928,1,0,3,"7:NoAgent,LB"
482,3,523,1,0,3,"7:NoAgent,LB"
495,7,726,0,0,4,"7:NoAgent,LB"
