"workerid","movieID","reactionTime","PArray","AArray","trialNum","expt"
442,5,639,0,1,1,"6:Attn19s"
448,3,724,1,0,1,"6:Attn19s"
420,5,2036,0,1,1,"6:Attn19s"
263,1,643,1,1,1,"6:Attn19s"
461,5,1382,0,1,1,"6:Attn19s"
418,3,1577,1,0,1,"6:Attn19s"
417,3,468,1,0,1,"6:Attn19s"
404,1,1165,1,1,1,"6:Attn19s"
474,5,831,0,1,1,"6:Attn19s"
273,1,1206,1,1,1,"6:Attn19s"
447,3,420,1,0,1,"6:Attn19s"
466,1,988,1,1,1,"6:Attn19s"
413,3,822,1,0,1,"6:Attn19s"
450,7,2758,0,0,1,"6:Attn19s"
439,3,1098,1,0,1,"6:Attn19s"
426,5,1931,0,1,1,"6:Attn19s"
443,3,1319,1,0,1,"6:Attn19s"
408,1,622,1,1,1,"6:Attn19s"
437,1,599,1,1,1,"6:Attn19s"
445,5,1157,0,1,1,"6:Attn19s"
456,5,474,0,1,1,"6:Attn19s"
462,3,1259,1,0,1,"6:Attn19s"
454,7,794,0,0,1,"6:Attn19s"
451,3,536,1,0,1,"6:Attn19s"
424,7,460,0,0,1,"6:Attn19s"
455,1,2438,1,1,1,"6:Attn19s"
465,5,954,0,1,1,"6:Attn19s"
463,3,668,1,0,1,"6:Attn19s"
476,7,884,0,0,1,"6:Attn19s"
2,5,690,0,1,1,"6:Attn19s"
414,3,603,1,0,1,"6:Attn19s"
422,5,663,0,1,1,"6:Attn19s"
419,7,648,0,0,1,"6:Attn19s"
436,5,627,0,1,1,"6:Attn19s"
472,5,740,0,1,1,"6:Attn19s"
433,3,487,1,0,1,"6:Attn19s"
20,3,656,1,0,2,"6:Attn19s"
416,3,439,1,0,2,"6:Attn19s"
431,3,503,1,0,2,"6:Attn19s"
460,1,1006,1,1,2,"6:Attn19s"
448,5,561,0,1,2,"6:Attn19s"
458,7,415,0,0,2,"6:Attn19s"
420,3,571,1,0,2,"6:Attn19s"
461,5,1081,0,1,2,"6:Attn19s"
418,5,973,0,1,2,"6:Attn19s"
417,5,389,0,1,2,"6:Attn19s"
468,5,591,0,1,2,"6:Attn19s"
474,3,669,1,0,2,"6:Attn19s"
444,3,630,1,0,2,"6:Attn19s"
273,5,597,0,1,2,"6:Attn19s"
447,5,567,0,1,2,"6:Attn19s"
469,5,782,0,1,2,"6:Attn19s"
466,1,589,1,1,2,"6:Attn19s"
221,7,1004,0,0,2,"6:Attn19s"
453,1,534,1,1,2,"6:Attn19s"
410,5,842,0,1,2,"6:Attn19s"
411,1,609,1,1,2,"6:Attn19s"
443,1,659,1,1,2,"6:Attn19s"
405,5,2257,0,1,2,"6:Attn19s"
408,3,782,1,0,2,"6:Attn19s"
441,7,1508,0,0,2,"6:Attn19s"
471,1,1969,1,1,2,"6:Attn19s"
451,3,358,1,0,2,"6:Attn19s"
424,5,469,0,1,2,"6:Attn19s"
465,5,290,0,1,2,"6:Attn19s"
463,7,519,0,0,2,"6:Attn19s"
